t,signal,driver
0.0,-0.2676112664124622,0.09983341664682817
0.01,0.34462149251551455,0.1621132466754885
0.02,-0.14355758460970452,0.22375328978201817
0.03,0.26174053449234214,0.2845102808769327
0.04,0.33060998085036924,0.3441444398736093
0.05,0.158700172925451,0.4024204179907439
0.06,0.18034620924524242,0.4591082265664701
0.07,0.6819534766180403,0.5139841447185358
0.08,0.2677891555722776,0.566831602268417
0.09,0.5384224668607069,0.617442034444871
0.1,0.7200503322362297,0.6656157049938047
0.11,0.33283082919975676,0.7111624944460179
0.12,0.895830629449668,0.7539026504318914
0.13,1.210780067397501,0.793667497081869
0.14,0.8449340480579526,0.8303001007130535
0.15,0.6773512423009906,0.8636558891747573
0.16,0.7445985920380196,0.8936032224087322
0.17,0.7759089290030021,0.9200239119723393
0.18,1.1377959506467699,0.9428136874743355
0.19,1.2358986094835889,0.9618826080824725
0.2,1.1834033142980673,0.9771554174788711
0.21,0.9525567911264805,0.9885718408623267
0.22,0.9482644980810797,0.9960868228254126
0.23,0.8672660346429163,0.9996707051675895
0.24,0.6067805859492835,0.9993093439425721
0.25,0.5902137805918743,0.9950041652780257
0.26,0.8761159424979853,0.9867721597472905
0.27,0.9904664382611504,0.9746458153153505
0.28,1.0571355478404256,0.9586729891236788
0.29,0.8292913767758368,0.9389167186199636
0.3,1.1043752821397321,0.9154549727781016
0.31,0.974205456890288,0.8883803443902789
0.32,0.8547848123937333,0.8577996846455209
0.33,0.9479296824682446,0.8238336814368655
0.34,0.8776741158119471,0.7866163830613868
0.35000000000000003,0.39622566427538936,0.7462946691928064
0.36,0.8327558850309704,0.7030276712145245
0.37,0.503633857192855,0.6569861442007504
0.38,0.8166910600393438,0.608351793024235
0.39,0.6331520653551936,0.5573165552501498
0.4,0.37850627008729176,0.5040818436462072
0.41000000000000003,0.6427465926937201,0.44885775129848154
0.42,0.22360968091880068,0.39186222246998176
0.43,0.6344507180128396,0.3333201924742129
0.44,0.07788066297729196,0.2734626999582592
0.45,0.33818130206840913,0.212525975098794
0.46,0.446911459168575,0.15075050730949618
0.47000000000000003,0.3569461524807023,0.08838009613920342
0.48,0.211036799340671,0.025660889106474863
0.49,0.5484778680450979,-0.03715958973221229
0.5,0.2842237076083339,-0.09983341664682813
0.51,0.006698601898100384,-0.16211324667548854
0.52,-0.05951694213825437,-0.2237532897820183
0.53,-0.18292769572998366,-0.28451028087693286
0.54,-0.22657855082620537,-0.3441444398736096
0.55,-0.16706705544915226,-0.4024204179907443
0.56,-0.5329873172853339,-0.45910822656647055
0.5700000000000001,-0.15404125991728823,-0.5139841447185359
0.58,-0.08336940277452909,-0.5668316022684168
0.59,-0.8991039934548353,-0.617442034444871
0.6,-0.8153360373169625,-0.6656157049938047
0.61,-0.5271242798454421,-0.711162494446018
0.62,-0.5418468015867894,-0.7539026504318915
0.63,-0.7214756790577634,-0.7936674970818686
0.64,-0.7489652984850708,-0.8303001007130534
0.65,-1.2006640952869516,-0.8636558891747569
0.66,-0.8489488514577584,-0.8936032224087322
0.67,-0.6506857009214609,-0.920023911972339
0.68,-0.7767571594986085,-0.9428136874743355
0.6900000000000001,-1.1190986520305732,-0.9618826080824725
0.7000000000000001,-0.879893737245233,-0.9771554174788711
0.71,-0.5632541184914591,-0.9885718408623265
0.72,-1.050977992942374,-0.9960868228254125
0.73,-1.124722456752051,-0.9996707051675894
0.74,-1.0305479625471299,-0.9993093439425721
0.75,-0.9344372058739022,-0.9950041652780257
0.76,-0.9327825186423606,-0.9867721597472907
0.77,-0.8414306007733126,-0.9746458153153507
0.78,-0.5186296163764136,-0.958672989123679
0.79,-1.0235529578648686,-0.9389167186199636
0.8,-1.0867875580596624,-0.9154549727781018
0.81,-1.0382917042328348,-0.8883803443902789
